id,title,titleJa,titleEn,image,mean,rank,num_list_users,num_scoring_users,num_episodes,start_date,end_date,media_type,status,rating,average_episode_duration,genres,studios
37873,BanG Dream! Garupa☆Pico!!,BanG Dream! ガルパ☆ピコ,,https://cdn.myanimelist.net/images/anime/1341/92872.jpg,7.74,1183,23475,12594,26,05-07-2018,27-12-2018,ona,finished_airing,pg_13,180,"Comedy, Music","SANZIGEN, DMM.futureworks"
37875,KakoPad: Nagaoka Hanabi Monogatari???,かこパッド ー長岡花火物語ー,,https://cdn.myanimelist.net/images/anime/1014/92897.jpg,,16918,269,83,1,25-12-2017,25-12-2017,ona,finished_airing,g,630,"Historical, Kids, Sci-Fi",
37876,Midori-chan???,みどりちゃん???,,https://cdn.myanimelist.net/images/anime/1943/92898.jpg,,17885,423,87,6,29-12-2016,02-04-2018,ona,finished_airing,g,375,"Music, Strategy Game",
37877,Promedicus!!,プロメディカス,,https://cdn.myanimelist.net/images/anime/1313/92900.jpg,5.54,12096,411,139,4,26-01-2018,10-02-2018,ona,finished_airing,g,15,School,Zero-G
37878,Sanpou Shoujo,算法少女,,https://cdn.myanimelist.net/images/anime/1354/143390.webp,,14021,276,34,1,24-12-2016,24-12-2016,movie,finished_airing,g,5869,"Historical, Kids",
37881,Naniiro no Nani,何色の何,What of What Color???,https://cdn.myanimelist.net/images/anime/1492/93330.jpg,5.89,10569,1239,546,1,19-05-2018,19-05-2018,ona,finished_airing,pg_13,763,"Music, Slice of Life",
37884,Golden Kamuy: Barato no Youjinbou/Kaiki! Nazo no Kyodai Tori!!,,Golden Kamuy: The Bodyguards of Barato/Terror! The Mysterious Giant Bird!!,https://cdn.myanimelist.net/images/anime/1538/124078.jpg,7.25,3128,29470,13330,1,19-09-2018,19-09-2018,ova,finished_airing,r,1320,"Action, Adult Cast, Adventure, Historical, Military, Seinen",Geno Studio
37885,Super Dragon Ball Heroes!!,スーパードラゴンボールヒーローズ,,https://cdn.myanimelist.net/images/anime/1480/92990.jpg,5.74,,79570,31235,56,01-07-2018,08-08-2024,ona,finished_airing,pg_13,525,"Action, Comedy, Fantasy, Martial Arts, Shounen",Toei Animation
37886,Wo Shi Jiang Xiaobai (2018),我是江小白 世界上的另一个我???,I'm Joybo OVA,https://cdn.myanimelist.net/images/anime/1170/116403.jpg,7.02,4351,3013,NaN,1,25-05-2018,25-05-2018,ona,finished_airing,pg_13,2220,"Drama, Love Polygon, Romance",2:10 Animation
37887,Huan Jie Wang,幻界王,Eudemon Quest,https://cdn.myanimelist.net/images/anime/1884/92933.webp,6.55,6855,5077,1260,20,30-05-2018,17-10-2018,ona,finished_airing,pg_13,882,"Action, Adventure, Fantasy",
37888,Tian Yu!!,天谕!!,Revelation???,https://cdn.myanimelist.net/images/anime/1888/92934.webp,5.96,10174,1072,232,13,26-04-2017,11-10-2017,ona,finished_airing,pg_13,1171,"Action, Adventure, Fantasy, Mythology",Sparkly Key Animation Studio
37890,Oshi ga Budoukan Ittekuretara Shinu,推しが武道館いってくれたら死ぬ,"If My Favorite Pop Idol Made It to the Budokan, I Would Die",https://cdn.myanimelist.net/images/anime/1139/104708.webp,7.42,2288,48200,20058,12,10-01-2020,27-03-2020,tv,finished_airing,pg_13,1460,"Comedy, Idols (Female), Music, Otaku Culture, Seinen",8bit
abc,Shittakaburi Kaitsuburi,知ったかぶりカイツブリ???,Shittakaburi Kaituburi???,https://cdn.myanimelist.net/images/anime/1806/92946.jpg,,,162,27,5,20-09-2008,31-12-2009,music,finished_airing,g,1800,"Kids, Music",
37892,Shigutsman,滋賀ッツマン!!,Shigutsman!!,https://cdn.myanimelist.net/images/anime/1551/92947.jpg,,14324,209,27,1,08-11-2009,08-11-2009,ova,finished_airing,g,7380,"Kids, Super Power",
37893,Yami Shibai 6???,闇芝居 6期!!,Theatre of Darkness: Yamishibai 6???,https://cdn.myanimelist.net/images/anime/1911/95045.jpg,6.21,8880,23141,10687,13,07-07-2018,29-09-2018,tv,finished_airing,pg_13,240,"Avant Garde, Horror, Supernatural","ILCA, DRAWIZ"
37894,Ling Yu 4th Season!!,灵域 第四季???,,https://cdn.myanimelist.net/images/anime/1753/92962.jpg,6.64,,NaN,632,12,08-12-2016,23-02-2017,ona,finished_airing,pg_13,843,Fantasy,Haoliners Animation League
37895,Ling Yu 5th Season!!,灵域 第五季,,https://cdn.myanimelist.net/images/anime/1070/92961.webp,6.58,6625,1756,599,12,20-07-2017,05-10-2017,ona,finished_airing,pg_13,780,Fantasy,Haoliners Animation League
37896,Ling Yu 6th Season,灵域 追忆篇???,,https://cdn.myanimelist.net/images/anime/1623/92960.jpg,NaN,9927,1672,NaN,12,20-04-2018,06-07-2018,ona,finished_airing,pg_13,802,Fantasy,Foch Film
37897,Godzilla 3: Hoshi wo Kuu Mono???,GODZILLA 星を喰う者???,Godzilla: The Planet Eater???,https://cdn.myanimelist.net/images/anime/1556/93690.webp,6.23,8733,35881,21414,1,09-11-2018,09-11-2018,movie,finished_airing,r,5400,"Action, Adventure, Sci-Fi",Polygon Pictures
37902,One Piece: Episode of Sorajima,ONE PIECE エピソードオブ空島,One Piece: Episode of Skypiea,https://cdn.myanimelist.net/images/anime/1533/92968.jpg,7.19,3470,33178,14839,1,25-08-2018,25-08-2018,tv_special,finished_airing,pg_13,6300,"Action, Adventure, Fantasy, Shounen",Toei Animation
37904,Meshinuma.???,,,https://cdn.myanimelist.net/images/anime/1299/94348.jpg,,17852,1292,134,20,31-05-2018,26-10-2018,ona,finished_airing,pg_13,80,"Gourmet, Seinen, Slice of Life","Grom, Aurum Production"
37906,Gaikan Chiba!!,GAIKAN CHIBA,Gaikan Chiba!!,https://cdn.myanimelist.net/images/anime/1867/92972.jpg,5.63,,446,155,1,16-05-2018,16-05-2018,pv,finished_airing,g,400,Drama,
37908,Senjou no Valkyria Special,戦場のヴァルキュリア Valkyria Chronicles,,https://cdn.myanimelist.net/images/anime/1385/92975.webp,5.42,12461,1751,525,1,07-04-2010,07-04-2010,special,finished_airing,pg_13,180,Comedy,A-1 Pictures
abc,Code:Realize - Sousei no Himegimi - Set a Thief to Catch a Thief,Code:Realize ~創世の姫君~,Code:Realize ~Guardian of Rebirth~ Set a thief to catch a thief,https://cdn.myanimelist.net/images/anime/1877/119101.jpg,6.76,5606,9877,3553,1,17-05-2018,17-05-2018,ova,finished_airing,pg_13,1440,"Fantasy, Historical, Josei, Reverse Harem, Romance",M.S.C
37914,Chikyuugai Shounen Shoujo,地球外少年少女,The Orbital Children???,https://cdn.myanimelist.net/images/anime/1619/120787.webp,6.82,5290,41712,17783,6,28-01-2022,28-01-2022,ona,finished_airing,pg_13,1873,"Sci-Fi, Space",Production +h.
37915,Uchuu no Hou: Reimei-hen???,宇宙の法-黎明編-???,The Laws of the Universe: Part 1,https://cdn.myanimelist.net/images/anime/1446/93438.jpg,5.26,12889,2106,321,1,12-10-2018,12-10-2018,movie,finished_airing,g,7140,"Sci-Fi, Space",HS Pictures Studio
37916,Uma Musume: Pretty Derby - BNW no Chikai,ウマ娘 プリティーダービー BNWの誓い!!,,https://cdn.myanimelist.net/images/anime/1733/93479.jpg,7.13,3774,NaN,6269,3,19-12-2018,19-12-2018,special,finished_airing,pg_13,1380,"Anthropomorphic, Racing, Sports",P.A. Works
37920,Ueno-san wa Bukiyou!!,上野さんは不器用!!,"How clumsy you are, Miss Ueno.!!",https://cdn.myanimelist.net/images/anime/1874/111374.jpg,6.55,6828,126340,NaN,12,07-01-2019,25-03-2019,tv,finished_airing,pg_13,720,"Comedy, Love Status Quo, Romance, School, Seinen",Lesprit
37921,ReLIFE: Kanketsu-hen Specials,社外秘 リライフ研究所 サポート課,,https://cdn.myanimelist.net/images/anime/1563/93020.webp,6.92,4793,26372,10449,NaN,21-03-2018,21-03-2018,special,finished_airing,pg_13,140,Slice of Life,TMS Entertainment
37922,Seikaisuru Kado: Beyond Information,,KADO: The Right Answer – Beyond Information,https://cdn.myanimelist.net/images/anime/1033/138197.jpg,6.09,9534,2836,655,1,21-05-2018,21-05-2018,ona,finished_airing,pg_13,7200,"Adult Cast, Sci-Fi",Toei Animation
37923,Baa-cha no Kingyo!!,婆ちゃの金魚???,A Grandma's Goldfish,https://cdn.myanimelist.net/images/anime/1820/93031.jpg,6.24,NaN,1439,811,1,28-10-2012,28-10-2012,movie,finished_airing,g,495,Slice of Life,
37924,Ani ni Tsukeru Kusuri wa Nai! 2,兄に付ける薬はない! 2,,https://cdn.myanimelist.net/images/anime/1797/129201.webp,7.72,1256,53667,27375,NaN,09-07-2018,17-12-2018,tv,finished_airing,pg_13,180,"Comedy, School","Fanworks, Imagineer"
37926,Nakanohito Genome [Jikkyouchuu],ナカノヒトゲノム【実況中】,The Ones Within!!,https://cdn.myanimelist.net/images/anime/1725/102251.webp,6.86,5095,139486,57958,12,07-07-2019,22-09-2019,tv,finished_airing,pg_13,1424,"Adventure, Drama, Mystery, Video Game",SILVER LINK.
37927,Nusheng Sushe Richang!!,女生宿舍日常!!,Girls Dorm???,https://cdn.myanimelist.net/images/anime/1804/93052.jpg,,18414,422,76,12,30-11-2016,22-02-2017,ona,finished_airing,pg_13,739,"Comedy, School",Yudubai Animation
37928,Mu Wang Zhi Wang: Han Tie Dou???,墓王之王 寒铁斗,Great King of the Grave: Cold Iron Fight???,https://cdn.myanimelist.net/images/anime/1194/93053.jpg,6.64,6271,867,NaN,21,11-05-2017,21-09-2017,ona,finished_airing,pg_13,1140,"Action, Historical, Martial Arts, Mystery, Romance",BUILD DREAM
37929,Mandamgangho,만담강호,,https://cdn.myanimelist.net/images/anime/1123/93054.jpg,,17656,205,31,1,22-03-2017,22-03-2017,movie,finished_airing,r,4415,Comedy,
